student_id,full_name,email,phone,date_of_birth,registration_date,course_id,payment_status,total_fees
1,Student_1,student1@email.com,9876590943,2003-11-24,2023-07-09,4,Pending,12300
2,Student_2,student2@email.com,9876525413,2013-01-18,2023-08-11,1,Paid,19850
3,Student_3,student3@email.com,9876589652,2010-07-30,2023-06-15,4,Pending,15499
4,Student_4,student4@email.com,9876587284,2011-01-02,2023-09-03,7,Pending,19630
5,Student_5,student5@email.com,9876577537,2011-11-08,2023-12-13,6,Paid,10824
6,Student_6,student6@email.com,9876523652,2017-08-09,2023-08-12,9,Pending,10420
7,Student_7,student7@email.com,9876557690,2015-07-16,2023-10-13,4,Pending,10283
8,Student_8,student8@email.com,9876549421,2019-08-14,2023-12-25,5,Pending,19211
9,Student_9,student9@email.com,9876580117,2006-08-06,2023-02-11,6,Pending,15766
10,Student_10,student10@email.com,9876537443,2009-06-05,2023-11-03,9,Pending,19217
11,Student_11,student11@email.com,9876536346,1995-07-17,2023-05-08,6,Pending,5288
12,Student_12,student12@email.com,9876546083,2015-03-11,2023-08-05,8,Paid,14389
13,Student_13,student13@email.com,9876537619,1998-05-22,2023-06-09,8,Paid,18233
14,Student_14,student14@email.com,9876550444,1995-05-23,2023-12-04,7,Paid,17735
15,Student_15,student15@email.com,9876523319,2001-02-04,2023-12-18,3,Pending,15618
16,Student_16,student16@email.com,9876540426,2012-09-29,2023-05-30,8,Pending,6386
17,Student_17,student17@email.com,9876572208,1997-04-02,2023-10-14,9,Paid,11958
18,Student_18,student18@email.com,9876511184,2010-01-10,2023-01-31,9,Paid,13129
19,Student_19,student19@email.com,9876592440,2003-08-10,2023-11-09,2,Pending,15388
20,Student_20,student20@email.com,9876568973,2019-08-10,2023-08-24,4,Paid,14304
21,Student_21,student21@email.com,9876583843,2004-07-17,2023-08-26,7,Pending,7946
22,Student_22,student22@email.com,9876558734,2017-09-27,2023-12-01,8,Paid,7202
23,Student_23,student23@email.com,9876550728,2012-10-20,2023-02-17,2,Pending,5097
24,Student_24,student24@email.com,9876584112,2014-02-02,2023-10-30,3,Pending,5354
25,Student_25,student25@email.com,9876539417,2018-06-18,2023-12-25,1,Pending,7488
26,Student_26,student26@email.com,9876555842,2016-04-15,2023-05-01,9,Paid,5970
27,Student_27,student27@email.com,9876580757,2013-05-17,2023-10-25,6,Pending,17130
28,Student_28,student28@email.com,9876523481,2010-06-23,2023-10-27,2,Paid,13484
29,Student_29,student29@email.com,9876596536,2013-08-08,2023-11-05,7,Pending,19036
30,Student_30,student30@email.com,9876555606,2018-08-12,2023-12-20,8,Paid,16689
31,Student_31,student31@email.com,9876516895,2014-07-09,2023-02-01,3,Paid,12811
32,Student_32,student32@email.com,9876525058,2018-03-19,2023-11-14,7,Paid,12948
33,Student_33,student33@email.com,9876573839,2013-12-28,2023-11-16,10,Paid,10997
34,Student_34,student34@email.com,9876567126,1998-06-21,2023-11-13,1,Paid,9146
35,Student_35,student35@email.com,9876583677,2016-10-29,2023-05-14,8,Pending,16677
36,Student_36,student36@email.com,9876583658,2007-02-16,2023-10-16,10,Pending,6055
37,Student_37,student37@email.com,9876554454,2014-09-12,2023-10-14,1,Paid,12083
38,Student_38,student38@email.com,9876520697,2014-02-24,2023-09-05,6,Pending,12503
39,Student_39,student39@email.com,9876558142,1996-04-09,2023-09-04,2,Pending,15377
40,Student_40,student40@email.com,9876553153,2013-01-10,2023-02-06,3,Pending,10917
41,Student_41,student41@email.com,9876518838,1996-08-13,2023-08-06,6,Pending,15478
42,Student_42,student42@email.com,9876560127,2018-11-19,2023-08-23,2,Pending,16903
43,Student_43,student43@email.com,9876519205,2017-08-30,2023-09-21,9,Paid,5236
44,Student_44,student44@email.com,9876583741,2010-07-19,2023-02-12,7,Paid,16856
45,Student_45,student45@email.com,9876590140,2003-06-24,2023-05-25,6,Pending,6089
46,Student_46,student46@email.com,9876592119,2004-04-07,2023-02-17,1,Pending,9489
47,Student_47,student47@email.com,9876560016,1996-09-05,2023-03-10,6,Paid,13598
48,Student_48,student48@email.com,9876583320,2013-10-19,2023-10-18,9,Pending,6833
49,Student_49,student49@email.com,9876512281,1997-01-21,2023-03-27,6,Paid,5067
50,Student_50,student50@email.com,9876552732,2001-04-22,2023-04-18,6,Pending,14298
